m_smbh,coulomb_log,a_min_pc,reading,seed,elapsed_s,n_steps,final_time_gyr,hit_step_ceiling,n_mergers,max_mass,max_spin,p99_mass,n_gt_100,pct_gt_100,any_gt_100,n_emri,pct_emri,n_ejected,max_generation
40000000.0,17.50439001207821,0.002989026617574047,bh_inclusive,4,54.01371097564697,10937,10.0,False,0,99.96588164841305,3.687898906571495e-05,98.3163928021514,0,0.0,False,539,53.9,0,1
40000000.0,17.50439001207821,0.002989026617574047,bh_inclusive,5,54.74085307121277,11040,10.0,False,1,101.05217599135182,0.014763526897159178,98.25435544092765,1,0.1,True,584,58.4,0,2
40000000.0,17.50439001207821,0.002989026617574047,bh_inclusive,6,54.11517119407654,10959,10.0,False,5,168.01923407519257,0.6362116049947036,98.62689605948555,2,0.2,True,513,51.3,0,2
40000000.0,17.50439001207821,0.002989026617574047,bh_inclusive,7,53.88040471076965,10937,10.0,False,0,99.73553957233608,0.0,97.63805475824645,0,0.0,False,556,55.6,0,1
126491100.0,18.655682507925544,0.005315323901171724,star_only,0,181.38544535636902,17109,10.0,False,7,110.48680892666081,0.6740880139510098,98.99678381628468,9,0.9,True,94,9.4,0,2
126491100.0,18.655682507925544,0.005315323901171724,star_only,1,159.5812051296234,14801,10.0,False,3,165.91986292148488,0.6470696259358873,98.68515366455324,5,0.5,True,71,7.1,0,2
126491100.0,18.655682507925544,0.005315323901171724,star_only,2,165.05721998214722,15183,10.0,False,5,122.22349751269185,-0.6679415485350032,99.91985719483282,10,1.0,True,74,7.4,0,2
126491100.0,18.655682507925544,0.005315323901171724,star_only,3,173.52529668807983,15868,10.0,False,6,147.55962751844612,0.5886525906527886,97.6169800208548,8,0.8,True,71,7.1,0,2
126491100.0,18.655682507925544,0.005315323901171724,star_only,4,163.62162685394287,15075,10.0,False,3,165.37633754947566,0.616400970540851,99.62586194049591,8,0.8,True,78,7.8,0,2
126491100.0,18.655682507925544,0.005315323901171724,bh_inclusive,1,135.95365262031555,15704,10.0,False,2,187.3567700512667,-0.6669165218220336,97.33834740368374,3,0.3,True,364,36.4,0,2
126491100.0,18.655682507925544,0.005315323901171724,bh_inclusive,0,136.51612091064453,15918,10.0,False,5,162.0754279461327,0.6746665734747684,97.89188022767551,4,0.4,True,369,36.9,0,2
126491100.0,18.655682507925544,0.005315323901171724,star_only,6,164.58772039413452,15160,10.0,False,5,162.76560123127285,0.6685252424137714,100.109735860416,11,1.1,True,70,7.0,0,2
126491100.0,18.655682507925544,0.005315323901171724,star_only,5,170.183607339859,15786,10.0,False,8,151.8125096195174,-0.5725261376628682,100.41482124593716,13,1.3,True,84,8.4,0,3
126491100.0,18.655682507925544,0.005315323901171724,star_only,7,172.84063291549683,15928,10.0,False,3,101.45452765574942,0.028940043964934634,98.85453356916818,5,0.5,True,83,8.3,0,2
126491100.0,18.655682507925544,0.005315323901171724,bh_inclusive,3,136.34524035453796,15741,10.0,False,4,127.75640438824902,0.6079250597265625,97.06708807576553,6,0.6,True,382,38.2,0,2
126491100.0,18.655682507925544,0.005315323901171724,bh_inclusive,5,133.3694384098053,15828,10.0,False,2,116.87567049512509,0.6890622641754043,98.36562628824936,5,0.5,True,389,38.9,0,2
126491100.0,18.655682507925544,0.005315323901171724,bh_inclusive,4,140.73683309555054,16480,10.0,False,1,100.55209721446414,-0.0015254546640611052,98.94696045789074,3,0.3,True,371,37.1,0,2
126491100.0,18.655682507925544,0.005315323901171724,bh_inclusive,2,145.5756537914276,16845,10.0,False,0,102.56882761604726,0.007459653845067976,97.04154006270534,3,0.3,True,354,35.4,0,1
126491100.0,18.655682507925544,0.005315323901171724,bh_inclusive,6,127.11086440086365,14715,10.0,False,3,121.84023170282612,-0.6582671720656965,99.28316148278321,4,0.4,True,331,33.1,0,2
126491100.0,18.655682507925544,0.005315323901171724,bh_inclusive,7,114.05869436264038,15332,10.0,False,3,105.93739864735434,0.6228991774989885,98.05010755245692,4,0.4,True,388,38.8,0,2
1264911.0,14.050512321937452,0.001,star_only,4,8167.898656845093,2000000,4.040997719363593,True,1764,3423980.176310818,0.00922263048569215,409.7245127975346,93,9.3,True,534,53.4,2,795
1264911.0,14.050512321937452,0.001,star_only,6,7813.461662530899,2000000,3.8506691010457663,True,1501,4910522.917976838,0.0010555795762693123,311.2078947893018,78,7.8,True,525,52.5,4,1141
1264911.0,14.050512321937452,0.001,star_only,7,10265.05036497116,2000000,5.49319793759657,True,3853,1927362.8876193168,-0.0018831347344311802,1373.1462361906956,77,7.7,True,587,58.7,11,1501
